,dates,xylem_pressure
156,2018-06-05 00:00:00,-1.6833333333333336
158,2018-06-20 00:00:00,-1.8166666666666664
159,2018-07-16 00:00:00,-1.7999999999999998
160,2018-08-03 00:00:00,-1.8999999999999997
161,2018-08-08 00:00:00,-2.033333333333333
162,2018-08-16 00:00:00,-1.6666666666666667
163,2018-09-05 00:00:00,-2.166666666666667
164,2018-09-18 00:00:00,-2.733333333333333
165,2018-10-12 00:00:00,-2.466666666666667
166,2018-10-19 00:00:00,-1.9666666666666668
167,2018-10-26 00:00:00,-2.1
168,2018-11-02 00:00:00,-0.7833333333333333
